unit_id,lon_ctr,lat_ctr,area_km2,t0_reclam_rs,time_since_t0,ndvi_trough_year,ndvi_trough,ndvi_recent,ndvi_recovery,ndvi_overall_slope,phase_v0,dating_confidence,label_method,label_role,note,aml_status_ext
MINE_US_01411,-87.745831,37.420183,0.6482,pre2000,,2001,0.265,0.565,0.301,0.01343,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01412,-97.850677,28.140302,0.6463,,,2000,0.139,0.238,0.099,0.00334,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01413,-80.179416,39.508845,0.6462,2015,9,2015,0.469,0.619,0.15,6e-05,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01414,-80.916294,40.352592,0.6454,,,2009,0.355,0.446,0.091,-0.00249,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01415,-79.684574,39.365886,0.6446,2013,11,2013,0.574,0.765,0.191,-0.00099,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01416,-117.672828,35.314993,0.6445,,,2007,0.03,0.082,0.052,0.00135,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01417,-116.138593,40.760641,0.6431,,,2007,0.091,0.136,0.044,0.00117,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01418,-78.270072,41.095697,0.6405,2014,10,2014,0.437,0.703,0.266,-0.00787,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,aml_listed_not_complete
MINE_US_01419,-117.464704,38.133146,0.6397,2001,23,2001,-0.07,0.07,0.139,0.00274,early_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01420,-81.357303,39.595623,0.6394,2014,10,2014,0.442,0.695,0.252,-0.01378,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01421,-105.253808,43.538774,0.6384,,,2005,0.128,0.201,0.073,0.00277,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01422,-87.881538,46.74812,0.6379,2011,13,2011,0.269,0.413,0.144,-0.01134,early_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01423,-115.712687,43.144072,0.6379,,,2000,0.174,0.255,0.081,0.00273,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01424,-82.173126,37.400541,0.6367,2008,16,2008,0.351,0.812,0.462,-0.00098,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01425,-87.565113,34.052443,0.6353,,,2006,0.449,0.496,0.048,0.00172,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01426,-98.353874,28.755604,0.6349,2013,11,2013,0.19,0.414,0.224,-0.00536,early_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01427,-82.041046,37.856319,0.6342,2008,16,2008,0.289,0.458,0.169,0.00613,early_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01428,-79.17893,39.439642,0.6332,pre2000,,2011,0.525,0.594,0.068,-0.01443,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01429,-122.775562,42.381012,0.6324,,,2018,0.131,0.14,0.01,-0.00529,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01430,-77.553078,36.884561,0.632,2014,10,2014,0.358,0.561,0.203,-0.01009,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01431,-83.047758,37.245665,0.6316,pre2000,,2006,0.522,0.689,0.167,0.00745,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01432,-80.633487,40.759203,0.6314,pre2000,,2020,0.551,0.575,0.024,-0.00647,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01433,-101.312758,47.062414,0.631,pre2000,,2000,0.149,0.592,0.443,0.01616,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01434,-117.708808,38.185538,0.6309,,,2001,0.052,0.079,0.027,0.00127,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01435,-94.481629,35.137863,0.6291,2011,13,2011,0.302,0.49,0.188,-0.00205,early_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01436,-115.993043,44.478209,0.6272,,,2000,0.256,0.304,0.048,0.0023,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01437,-79.464943,40.766248,0.627,,,2011,0.428,0.488,0.06,-0.0027,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01438,-112.253504,34.501307,0.6266,,,2001,0.085,0.139,0.055,0.00246,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01439,-82.921495,30.468994,0.6257,2013,11,2013,0.332,0.662,0.33,-0.01166,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01440,-81.650333,37.202197,0.6256,pre2000,,2003,0.477,0.543,0.066,0.0041,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01441,-106.851886,45.042188,0.624,,,2001,0.1,0.273,0.172,0.00891,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01442,-121.032358,39.378351,0.6234,,,2000,0.385,0.493,0.108,0.00464,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01443,-79.005461,40.686609,0.6226,pre2000,,2019,0.493,0.529,0.035,-0.01061,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,aml_listed_not_complete
MINE_US_01444,-79.823354,35.764236,0.6226,,,2011,0.29,0.368,0.079,0.00152,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01445,-111.4087,42.811954,0.6223,,,2006,0.292,0.413,0.121,0.00375,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01446,-86.781893,33.950123,0.6223,,,2007,0.423,0.48,0.057,-0.00098,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01447,-75.89558,40.734842,0.6218,pre2000,,2011,0.676,0.775,0.099,0.00208,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01448,-78.772087,41.227027,0.6212,2013,11,2013,0.463,0.679,0.216,-0.00752,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,aml_listed_not_complete
MINE_US_01449,-118.01855,38.758838,0.6207,,,2003,0.043,0.065,0.022,0.00083,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01450,-78.884587,40.461203,0.6206,,,2020,0.345,0.368,0.023,-0.02103,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,aml_listed_not_complete
MINE_US_01451,-80.116809,39.183777,0.6198,2014,10,2014,0.619,0.777,0.158,0.00232,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01452,-74.597784,41.132942,0.6181,,,2021,0.338,0.354,0.016,-0.00974,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01453,-89.258692,37.83386,0.6174,2011,13,2011,0.272,0.413,0.141,-0.00106,relapse_degradation,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
